epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.175,1.20197,0.78422,1.19214,0.58062,0.47072,0.49977,0.26095,1.75346,1.44773,1.60775,0.0700551,0.00332721,0.00332721
2,775.119,1.48378,1.11769,1.37475,0.76276,0.60497,0.68975,0.38997,1.57838,1.22925,1.44033,0.0400222,0.00662757,0.00662757
3,1144.82,1.47662,1.1249,1.37447,0.72566,0.5712,0.6498,0.36537,1.54949,1.34617,1.40534,0.00995621,0.00989493,0.00989493
4,1513.46,1.45448,1.09482,1.35714,0.8176,0.64952,0.74052,0.43227,1.50246,1.10074,1.35986,0.0098515,0.0098515,0.0098515
5,1882.98,1.43897,1.0474,1.34741,0.80725,0.6738,0.75743,0.42942,1.55121,1.11092,1.40275,0.009802,0.009802,0.009802
6,2250.46,1.41766,1.02186,1.33311,0.83176,0.69837,0.78723,0.46543,1.47626,0.99599,1.35627,0.0097525,0.0097525,0.0097525
7,2620.93,1.39878,1.00049,1.31873,0.84951,0.71072,0.811,0.48685,1.43154,0.97289,1.33286,0.009703,0.009703,0.009703
8,2989.22,1.40085,0.9845,1.31853,0.86841,0.72655,0.82133,0.49994,1.39284,0.90294,1.31644,0.0096535,0.0096535,0.0096535
9,3355.76,1.383,0.96149,1.30832,0.86824,0.6986,0.80524,0.50021,1.39392,0.97747,1.31917,0.009604,0.009604,0.009604
10,3722.56,1.3778,0.95591,1.30038,0.85803,0.69338,0.79875,0.48895,1.41437,0.98763,1.32606,0.0095545,0.0095545,0.0095545
11,4090.03,1.38234,0.9501,1.30479,0.87843,0.73621,0.83233,0.51486,1.3709,0.8542,1.29405,0.009505,0.009505,0.009505
12,4456.46,1.37387,0.94389,1.29711,0.87165,0.74304,0.83693,0.51928,1.37914,0.842,1.29189,0.0094555,0.0094555,0.0094555
13,4828.3,1.37078,0.93134,1.29716,0.86787,0.76248,0.84667,0.52432,1.35689,0.82867,1.28009,0.009406,0.009406,0.009406
14,5196.48,1.36145,0.92046,1.28805,0.88959,0.75236,0.84453,0.52669,1.36554,0.80692,1.2795,0.0093565,0.0093565,0.0093565
15,5563.21,1.36295,0.91957,1.28856,0.88609,0.75657,0.84872,0.5291,1.356,0.79373,1.27342,0.009307,0.009307,0.009307
16,5932.41,1.36443,0.92774,1.29334,0.88549,0.76395,0.85241,0.53585,1.34651,0.79547,1.26897,0.0092575,0.0092575,0.0092575
17,6299.07,1.35261,0.90505,1.28359,0.88383,0.77036,0.85501,0.53556,1.33746,0.7773,1.26473,0.009208,0.009208,0.009208
18,6665.43,1.35473,0.90691,1.27949,0.89253,0.76774,0.85834,0.538,1.33702,0.76147,1.26191,0.0091585,0.0091585,0.0091585
19,7032.72,1.35416,0.90501,1.27981,0.88838,0.77352,0.85741,0.53462,1.32777,0.78675,1.26158,0.009109,0.009109,0.009109
20,7399.48,1.34362,0.90493,1.27951,0.89083,0.76967,0.8619,0.54218,1.33198,0.75556,1.25942,0.0090595,0.0090595,0.0090595
21,7767.35,1.35059,0.89504,1.27997,0.89186,0.77464,0.86216,0.543,1.32285,0.76137,1.257,0.00901,0.00901,0.00901
22,8134.06,1.35181,0.8859,1.28205,0.89358,0.77879,0.86367,0.54518,1.32728,0.74245,1.25508,0.0089605,0.0089605,0.0089605
23,8499.82,1.34014,0.88431,1.27507,0.89797,0.77693,0.86527,0.54586,1.33071,0.73666,1.25712,0.008911,0.008911,0.008911
24,8865.89,1.34917,0.88368,1.275,0.89474,0.78008,0.86706,0.54887,1.3235,0.73159,1.25284,0.0088615,0.0088615,0.0088615
25,9232.12,1.33348,0.87198,1.26852,0.8854,0.7881,0.86788,0.54973,1.31956,0.72979,1.2505,0.008812,0.008812,0.008812
26,9598.22,1.33934,0.88213,1.27432,0.88872,0.7835,0.86646,0.54936,1.32126,0.72821,1.25099,0.0087625,0.0087625,0.0087625
27,9965.51,1.34118,0.87851,1.27288,0.88755,0.78429,0.86648,0.54978,1.32018,0.72593,1.25057,0.008713,0.008713,0.008713
28,10331.5,1.33301,0.87321,1.26903,0.89347,0.78008,0.86683,0.55081,1.31735,0.72282,1.24888,0.0086635,0.0086635,0.0086635
29,10697.6,1.3339,0.87683,1.2649,0.88638,0.78442,0.8677,0.55085,1.31604,0.72451,1.24874,0.008614,0.008614,0.008614
30,11064.3,1.32996,0.86685,1.26746,0.89109,0.78245,0.86699,0.55185,1.31668,0.72098,1.24666,0.0085645,0.0085645,0.0085645
31,11430.2,1.33002,0.86746,1.26691,0.88532,0.77893,0.8631,0.54733,1.30907,0.73854,1.24973,0.008515,0.008515,0.008515
32,11797.4,1.33078,0.87084,1.26845,0.89048,0.77824,0.86482,0.54858,1.31129,0.73134,1.24863,0.0084655,0.0084655,0.0084655
33,12164.3,1.33107,0.86692,1.264,0.8901,0.77883,0.86499,0.55057,1.31112,0.72748,1.24715,0.008416,0.008416,0.008416
34,12530.6,1.32253,0.86068,1.26335,0.89374,0.78232,0.86736,0.55289,1.31539,0.71995,1.24528,0.0083665,0.0083665,0.0083665
35,12897.2,1.32615,0.86527,1.2612,0.8939,0.78232,0.86727,0.55302,1.31963,0.71435,1.242,0.008317,0.008317,0.008317
36,13263.5,1.32101,0.86047,1.25938,0.89059,0.78337,0.86686,0.55266,1.3212,0.712,1.2414,0.0082675,0.0082675,0.0082675
37,13629.3,1.32041,0.85432,1.2603,0.89672,0.77793,0.86674,0.55255,1.32157,0.70845,1.24034,0.008218,0.008218,0.008218
38,13995.5,1.32427,0.84957,1.26161,0.89742,0.7789,0.86642,0.55287,1.32186,0.70807,1.23958,0.0081685,0.0081685,0.0081685
39,14362,1.32836,0.86361,1.26478,0.89971,0.77667,0.86613,0.55249,1.32191,0.70659,1.23891,0.008119,0.008119,0.008119
