epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.865,1.49749,3.83867,1.36152,0.85907,0.74054,0.83196,0.50402,1.37337,0.89097,1.24259,0.00332591,0.00332591,0.00332591
2,952.175,1.39396,1.01496,1.29606,0.83845,0.69955,0.79346,0.46505,1.45694,1.10652,1.34989,0.00663727,0.00663727,0.00663727
3,1426.82,1.48548,1.14711,1.37702,0.72486,0.58119,0.63957,0.35765,1.6093,1.75935,1.46482,0.00992663,0.00992663,0.00992663
4,1902.35,1.50702,1.14014,1.39728,0.8408,0.66816,0.76887,0.44705,1.50628,1.05572,1.38617,0.009901,0.009901,0.009901
5,2377.74,1.43277,1.02919,1.34684,0.86088,0.74895,0.83439,0.49725,1.44449,0.90821,1.33067,0.009868,0.009868,0.009868
6,2854.77,1.38958,0.9553,1.3171,0.86481,0.76787,0.84891,0.5246,1.35303,0.82825,1.28491,0.009835,0.009835,0.009835
7,3289.85,1.35522,0.91935,1.29371,0.87685,0.75673,0.8512,0.5321,1.32346,0.82999,1.27737,0.009802,0.009802,0.009802
8,3768.61,1.33966,0.87823,1.28175,0.88808,0.77733,0.86034,0.54231,1.31593,0.78119,1.25908,0.009769,0.009769,0.009769
9,4245.28,1.3274,0.85626,1.26982,0.90278,0.77587,0.86552,0.54867,1.30551,0.75432,1.24457,0.009736,0.009736,0.009736
10,4724.79,1.30318,0.83414,1.25833,0.89715,0.7873,0.87652,0.56507,1.28342,0.73356,1.23724,0.009703,0.009703,0.009703
11,5202.71,1.28423,0.80815,1.24663,0.9026,0.80557,0.88532,0.56253,1.28744,0.72096,1.23115,0.00967,0.00967,0.00967
12,5680.35,1.27794,0.79711,1.23651,0.90041,0.81,0.88972,0.57188,1.26391,0.68121,1.22115,0.009637,0.009637,0.009637
13,6106.95,1.27262,0.78039,1.23242,0.91269,0.81161,0.89339,0.58198,1.2506,0.66229,1.21194,0.009604,0.009604,0.009604
14,6584.72,1.27075,0.78033,1.23021,0.89796,0.82002,0.89387,0.58212,1.24194,0.67551,1.20704,0.009571,0.009571,0.009571
15,7061.94,1.26096,0.77093,1.22612,0.91464,0.81779,0.9001,0.59227,1.22134,0.63926,1.19888,0.009538,0.009538,0.009538
16,7540.91,1.24218,0.75027,1.2148,0.91695,0.82317,0.90209,0.59476,1.2158,0.63638,1.19385,0.009505,0.009505,0.009505
17,8021.21,1.24306,0.74433,1.21465,0.92204,0.82661,0.9058,0.59803,1.21095,0.62537,1.18939,0.009472,0.009472,0.009472
18,8435.23,1.2264,0.7389,1.20348,0.92187,0.83088,0.90926,0.60314,1.2095,0.61604,1.18967,0.009439,0.009439,0.009439
19,8938.18,1.23545,0.736,1.20871,0.92141,0.8364,0.91128,0.60847,1.19732,0.60253,1.17939,0.009406,0.009406,0.009406
20,9420.58,1.22695,0.7241,1.20232,0.92802,0.83675,0.91433,0.61228,1.18816,0.59167,1.17681,0.009373,0.009373,0.009373
21,9902.44,1.22229,0.71186,1.19796,0.92847,0.83316,0.91281,0.61531,1.17753,0.59072,1.17244,0.00934,0.00934,0.00934
22,10384.5,1.20868,0.71404,1.19034,0.92651,0.83809,0.91422,0.61733,1.17574,0.58233,1.16834,0.009307,0.009307,0.009307
